k number
1  2
1  2
1  2
2  3
2  3
3  4
4  5
5  6
7  8
9  10
12  13
15  16
20  21
25  26
33  31
42  36
54  42
70  48
90  55
115  63
148  72
190  82
244  93
314  106
403  121
518  137
665  156
854  177
1096  201
1408  229
1808  260
