number x1 x2 alpha steps 
0 2 2 0.666666 19
1 1.48785 1.57321 0.666666 19
2 0.982971 1.13785 0.666666 19
3 0.484755 0.69488 0.666666 19
4 -0.00744836 0.245237 0.666666 19
5 -0.494338 -0.210155 0.666666 19
6 -0.976651 -0.670391 0.666666 19
7 -1.45515 -1.13459 0.666666 19
8 -1.93063 -1.60188 0.666666 19
9 -2.4039 -2.07141 0.666666 19
10 -2.87578 -2.54234 0.666666 19
11 -3.34709 -3.01384 0.451891 19
12 -3.66675 -3.33325 0.000112783 19
13 -3.66667 -3.33333 8.85782e-07 19
14 -3.66667 -3.33333 0 0
