eps number iter
0.1 6 5
0.0333333 6 5
0.0111111 6 5
0.0037037 6 5
0.00123457 8 7
0.000411523 8 7
0.000137174 8 7
4.57247e-05 8 7
1.52416e-05 8 7
5.08053e-06 8 7
1.69351e-06 9 8
5.64503e-07 9 8
1.88168e-07 9 8
6.27225e-08 9 8
2.09075e-08 9 8
6.96917e-09 9 8
2.32306e-09 11 10
7.74352e-10 13 12
2.58117e-10 15 14
