eps number iter
0.1 12 11
0.0333333 15 14
0.0111111 17 16
0.0037037 19 18
0.00123457 21 20
0.000411523 24 23
0.000137174 26 25
4.57247e-05 28 27
1.52416e-05 31 30
5.08053e-06 33 32
1.69351e-06 35 34
5.64503e-07 37 36
1.88168e-07 40 39
6.27225e-08 42 41
2.09075e-08 44 43
6.96917e-09 47 46
2.32306e-09 49 48
7.74352e-10 51 50
2.58117e-10 53 52
