eps number
0.1 6
0.0333333 7
0.0111111 9
0.0037037 10
0.00123457 12
0.000411523 13
0.000137174 15
4.57247e-05 17
1.52416e-05 18
5.08053e-06 20
1.69351e-06 21
5.64503e-07 23
1.88168e-07 25
6.27225e-08 26
2.09075e-08 28
6.96917e-09 29
2.32306e-09 31
7.74352e-10 33
2.58117e-10 34
