eps number
0.1 5
0.0333333 5
0.0111111 5
0.0037037 5
0.00123457 7
0.000411523 7
0.000137174 7
4.57247e-05 7
1.52416e-05 7
5.08053e-06 7
1.69351e-06 8
5.64503e-07 8
1.88168e-07 8
6.27225e-08 8
2.09075e-08 8
6.96917e-09 8
2.32306e-09 10
7.74352e-10 12
2.58117e-10 14
