eps number iter
0.1 13 10
0.0333333 10 7
0.0111111 12 9
0.0037037 13 10
0.00123457 12 8
0.000411523 11 8
0.000137174 13 10
4.57247e-05 11 8
1.52416e-05 12 9
5.08053e-06 13 10
1.69351e-06 12 9
5.64503e-07 10 7
1.88168e-07 12 9
6.27225e-08 15 10
2.09075e-08 13 10
6.96917e-09 17 14
2.32306e-09 14 11
7.74352e-10 23 20
2.58117e-10 30 27
