eps number
0.1 11
0.0333333 14
0.0111111 16
0.0037037 18
0.00123457 20
0.000411523 23
0.000137174 25
4.57247e-05 27
1.52416e-05 30
5.08053e-06 32
1.69351e-06 34
5.64503e-07 36
1.88168e-07 39
6.27225e-08 41
2.09075e-08 43
6.96917e-09 46
2.32306e-09 48
7.74352e-10 50
2.58117e-10 52
